;Assets $;Market value $;Profits $;Proft_%_Revenues;Revenues $;Total Stockholder Equity $;company
499;2,580;4,053;not available;2.9;5,130;-99;Burlington Stores
498;18,888;10,741;not available;12.3;5,142;6,427;Cincinnati Financial
497;2,515;6,724;not available;7.4;5,170;1,239;NVR
496;8,254;4,164;not available;5.6;5,176;2,759;First American Financial
495;9,423;3,276;not available;4.2;5,176;4,126;"Telephone &amp; Data Systems"
494;1,640;2,250;not available;2.8;5,191;721;Big Lots
493;134,112;4,104;not available;19.2;5,197;3,975;Navient
492;32,923;20,560;not available;3.7;5,234;6,865;Spectra Energy
491;9,340;22,869;not available;13.6;5,254;2,660;Fiserv
490;9,365;13,125;not available;12.5;5,259;5,103;Lam Research
489;7,389;12,092;not available;13.0;5,262;1,875;Rockwell Collins
488;5,663;2,538;not available;2.7;5,264;2,652;Domtar
487;30,651;65,384;not available;34.7;5,266;4,472;Simon Property Group
486;2,878;4,505;not available;4.4;5,275;187;Booz Allen Hamilton Holding
485;138,208;11,058;not available;15.9;5,276;19,646;Citizens Financial Group
484;2,150;1,812;not available;1.4;5,291;1,008;ABM Industries
483;5,974;10,259;not available;6.9;5,305;2,152;Airgas
482;17,493;7,533;not available;5.4;5,308;3,844;NiSource
481;26,480;6,726;not available;9.5;5,308;4,522;Raymond James Financial
480;8,183;26,277;not available;21.8;5,313;194;"S&amp;P Global"
479;7,380;5,480;not available;6.2;5,350;3,739;Owens Corning
478;41,952;not available;not available;8.5;5,356;4,810;"Western &amp; Southern Financial Group"
477;2,861;not available;not available;1.5;5,362;412;CH2M Hill
476;2,263;1,191;not available;-0.8;5,363;724;Essendant
475;24,941;12,454;not available;10.9;5,370;7,834;Markel
474;23,330;not available;not available;-99.5;5,370;-25,061;Energy Future Holdings
473;2,014;1,063;not available;1.4;5,373;686;Insight Enterprises
472;10,064;6,952;not available;5.7;5,387;3,037;Ashland
471;11,784;12,563;not available;10.4;5,387;7,064;"Host Hotels &amp; Resorts"
470;10,914;7,878;not available;6.6;5,392;3,638;Arthur J. Gallagher
469;4,682;3,093;not available;42.0;5,444;1,057;Visteon
468;6,388;3,816;not available;2.7;5,448;1,967;Envision Healthcare Holdings
467;9,459;9,560;not available;15.3;5,484;1,405;Western Union
466;1,940;726;not available;1.0;5,518;895;Kelly Services
465;9,716;8,576;not available;11.1;5,536;950;Wyndham Worldwide
464;13,064;15,599;not available;15.9;5,541;4,042;St. Jude Medical
463;9,231;15,293;not available;7.0;5,565;5,739;SanDisk
462;1,008;not available;not available;0.6;5,565;112;Lansing Trade Group
