;Assets $;Market value $;Revenues $;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;facebook;instagram;linkedin;pinterest;twitter;youtube;Flesh_Mesaure;Readability;Sentences;Unique words;Words;url;external;internal;total links;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time;pixels;Proft_%_Revenues
0;199,581;215,356;482,13;80,546;Walmart;TRUE;0;814;1;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;n/a;n/a;n/a;n/a;n/a;www.walmart.com;39;170;209;0;0;29;134;134;94;42;7;0;440;0.212;59193112;2.9
1;336,758;347,129;246,204;170,811;Exxon Mobil;TRUE;0;55;29;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;n/a;n/a;n/a;n/a;n/a;www.exxonmobil.com;27;787;814;0;0;1;0;0;17;2;4;0;24;3.447;21587;12.3
2;290,479;604,304;233,715;119,355;Apple;TRUE;0;16;7;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;59.7;Fairly difficult;119;25;279;www.apple.com;5;273;278;0;0;1;0;0;0;2;0;0;3;0.023;3100190;7.4
3;552,257;350,279;210,821;255,55;Berkshire Hathaway;TRUE;0;4;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;55.6;Fairly difficult;27;39;197;www.berkshirehathaway.com;0;18;18;0;0;1;0;0;0;0;0;0;1;0.0;386427;5.6
4;53,87;35,945;181,241;8,001;McKesson;TRUE;0;83;62;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;25;Very Confusing;229;295;799;www.mckesson.com;4;178;182;0;0;0;0;0;6;7;0;0;13;0.649;6915051;4.2
5;111,383;122,542;157,107;33,83;UnitedHealth Group;TRUE;0;37;3;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;53.4;Fairly difficult;37;59;326;www.unitedhealthgroup.com;10;106;116;0;0;0;0;0;0;0;0;0;0;0.677;6071614;2.8
6;93,657;113,947;153,29;37,196;CVS Health;TRUE;0;42;23;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;35;Difficult;183;249;818;www.cvshealth.com;35;120;155;0;0;1;1;0;0;18;0;0;20;0.031;5156924;19.2
7;194,52;48,543;152,356;39,871;General Motors;TRUE;0;26;2;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;32.8;Difficult;231;74;600;www.gm.com;2;218;220;0;0;0;0;0;17;92;8;0;117;0.052;4679542;3.7
8;224,925;53,758;149,558;28,642;Ford Motor;TRUE;0;242;8;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;82.1;Easy;258;80;760;www.ford.com;76;273;349;0;0;27;59;59;59;69;7;0;280;0.18;24407939;13.6
9;402,672;240,943;146,801;122,671;"AT&amp;T";TRUE;0;37;5;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;71.5;Fairly easy;374;176;1267;www.att.com;132;239;371;0;1;1;0;0;12;30;8;0;52;0.354;20543535;12.5
