range;company;</title>;</html>;</body>;</div>;</span>;Correct
1;Walmart;YES;YES;YES;YES;YES;YES
2;Exxon Mobil;YES;NO;YES;NO;YES;NO
3;Apple;YES;YES;YES;YES;YES;YES
4;Berkshire Hathaway;YES;YES;YES;YES;YES;YES
5;McKesson;YES;YES;YES;YES;YES;YES
6;UnitedHealth Group;YES;YES;YES;YES;YES;YES
7;CVS Health;YES;NO;YES;YES;YES;NO
8;General Motors;YES;YES;YES;YES;YES;YES
9;Ford Motor;YES;YES;YES;YES;YES;YES
10;AT&T;YES;YES;YES;NO;YES;NO
11;General Electric;YES;NO;YES;YES;YES;NO
12;AmerisourceBergen;YES;NO;YES;YES;YES;NO
13;Verizon;YES;YES;YES;YES;YES;YES
14;Chevron;YES;YES;YES;YES;YES;YES
15;Costco;YES;YES;YES;NO;YES;NO
17;Kroger;YES;YES;YES;YES;YES;YES
18;Amazon.com;YES;YES;YES;NO;YES;NO
19;Walgreens Boots Alliance;YES;YES;YES;YES;YES;YES
20;HP;YES;YES;YES;YES;YES;YES
21;Cardinal Health;YES;YES;YES;YES;YES;YES
22;Express Scripts Holding;YES;YES;YES;YES;YES;YES
23;J.P. Morgan Chase;YES;NO;YES;YES;YES;NO
24;Boeing;YES;NO;YES;YES;YES;NO
25;Microsoft;YES;YES;YES;YES;YES;YES
26;Bank of America Corp.;YES;YES;YES;YES;YES;YES
27;Wells Fargo;YES;NO;YES;YES;YES;NO
28;Home Depot;YES;NO;YES;YES;YES;NO
29;Citigroup;YES;YES;NO;YES;YES;NO
30;Phillips 66;YES;YES;YES;YES;NO;NO
31;IBM;YES;YES;YES;YES;YES;YES
32;Valero Energy;YES;YES;YES;YES;YES;YES
33;Anthem;YES;YES;YES;YES;YES;YES
34;Procter & Gamble;YES;YES;YES;YES;YES;YES
35;State Farm Insurance Cos.;YES;NO;YES;YES;YES;NO
36;Alphabet;YES;YES;YES;YES;YES;YES
37;Comcast;YES;NO;YES;YES;YES;NO
38;Target;YES;YES;NO;YES;YES;NO
39;Johnson & Johnson;YES;NO;YES;YES;YES;NO
40;MetLife;YES;YES;YES;NO;YES;NO
41;Archer Daniels Midland;YES;YES;YES;YES;YES;YES
42;Marathon Petroleum;YES;YES;YES;YES;YES;YES
43;Freddie Mac;YES;YES;YES;YES;NO;NO
44;PepsiCo;YES;NO;YES;NO;YES;NO
45;United Technologies;YES;YES;NO;NO;YES;NO
46;Aetna;YES;YES;YES;YES;YES;YES
47;Lowe’s;YES;YES;YES;YES;YES;YES
48;UPS;YES;NO;NO;YES;YES;NO
49;AIG;YES;YES;YES;YES;YES;YES
50;Prudential Financial;YES;NO;YES;NO;YES;NO
51;Intel;YES;YES;YES;YES;YES;YES
52;Humana;YES;NO;YES;YES;YES;NO
53;Disney;YES;NO;YES;YES;YES;NO
54;Cisco Systems;YES;NO;YES;NO;YES;NO
55;Pfizer;YES;YES;YES;NO;YES;NO
56;Dow Chemical;YES;YES;YES;YES;YES;YES
57;Sysco;YES;YES;YES;NO;YES;NO
58;FedEx;YES;YES;YES;YES;YES;YES
59;Caterpillar;YES;YES;YES;NO;YES;NO
60;Lockheed Martin;YES;YES;YES;YES;YES;YES
61;New York Life Insurance;YES;YES;YES;NO;YES;NO
62;Coca-Cola;YES;NO;YES;NO;YES;NO
63;HCA Holdings;YES;YES;YES;YES;YES;YES
64;Ingram Micro;YES;YES;YES;YES;YES;YES
65;Energy Transfer Equity;YES;YES;YES;NO;YES;NO
66;Tyson Foods;YES;YES;YES;YES;YES;YES
67;American Airlines Group;YES;NO;YES;YES;YES;NO
68;Delta Air Lines;YES;NO;YES;NO;YES;NO
69;Nationwide;YES;NO;YES;YES;YES;NO
70;Johnson Controls;YES;NO;YES;YES;YES;NO
71;Best Buy;YES;YES;YES;YES;YES;YES
72;Merck;YES;NO;YES;YES;YES;NO
73;Liberty Mutual Insurance Group;YES;YES;YES;YES;YES;YES
74;Goldman Sachs Group;YES;NO;YES;YES;YES;NO
75;Honeywell International;YES;YES;NO;YES;NO;NO
76;Massachusetts Mutual Life Insurance;YES;NO;YES;NO;NO;NO
77;Oracle;YES;YES;YES;NO;YES;NO
78;Morgan Stanley;YES;YES;NO;YES;YES;NO
79;Cigna;YES;NO;YES;YES;YES;NO
80;United Continental Holdings;YES;YES;YES;NO;YES;NO
81;Allstate;YES;YES;YES;YES;YES;YES
82;TIAA;YES;YES;YES;YES;YES;YES
83;INTL FCStone;YES;NO;YES;YES;YES;NO
84;CHS;YES;NO;YES;YES;NO;NO
85;American Express;YES;YES;NO;NO;NO;NO
86;Gilead Sciences;YES;YES;YES;YES;YES;YES
88;General Dynamics;YES;NO;YES;YES;YES;NO
89;TJX;YES;NO;YES;YES;YES;NO
90;ConocoPhillips;YES;YES;YES;YES;YES;YES
91;Nike;YES;YES;YES;YES;YES;YES
92;World Fuel Services;YES;YES;YES;YES;YES;YES
93;3M;YES;YES;YES;YES;YES;YES
94;Mondelez International;YES;YES;YES;NO;YES;NO
95;Exelon;YES;YES;YES;YES;NO;NO
96;Twenty-First Century Fox;YES;YES;YES;YES;YES;YES
97;Deere;YES;YES;YES;YES;YES;YES
99;Time Warner;YES;NO;YES;NO;YES;NO
100;Northwestern Mutual;YES;NO;YES;YES;YES;NO
101;DuPont;YES;YES;YES;YES;YES;YES
102;Avnet;YES;YES;YES;YES;YES;YES
103;Macy’s;YES;YES;YES;YES;YES;YES
104;Enterprise Products Partners;YES;YES;YES;YES;YES;YES
105;Travelers Cos.;YES;YES;YES;NO;YES;NO
106;Philip Morris International;YES;YES;YES;NO;YES;NO
107;Rite Aid;YES;YES;YES;YES;YES;YES
108;Tech Data;YES;YES;YES;YES;YES;YES
109;McDonald’s;YES;YES;YES;YES;YES;YES
110;Qualcomm;YES;NO;YES;YES;YES;NO
111;Sears Holdings;YES;NO;YES;YES;YES;NO
112;Capital One Financial;YES;NO;YES;YES;YES;NO
113;EMC;YES;NO;YES;YES;YES;NO
114;USAA;YES;YES;YES;YES;YES;YES
115;Duke Energy;YES;NO;YES;YES;YES;NO
116;Time Warner Cable;YES;NO;YES;NO;YES;NO
117;Halliburton;YES;YES;YES;YES;YES;YES
118;Northrop Grumman;YES;YES;YES;YES;YES;YES
119;Arrow Electronics;YES;NO;YES;NO;YES;NO
120;Raytheon;YES;NO;YES;YES;YES;NO
121;Plains GP Holdings;YES;YES;YES;YES;YES;YES
122;US Foods Holding;YES;YES;YES;YES;YES;YES
123;AbbVie;YES;YES;YES;YES;YES;YES
124;Centene;YES;NO;YES;NO;YES;NO
125;Community Health Systems;YES;NO;YES;YES;YES;NO
126;Alcoa;YES;YES;YES;NO;YES;NO
127;International Paper;YES;NO;YES;YES;YES;NO
128;Emerson Electric;YES;YES;YES;NO;YES;NO
129;Union Pacific;YES;YES;YES;YES;YES;YES
130;Amgen;YES;NO;YES;YES;YES;NO
131;U.S. Bancorp;YES;YES;NO;YES;YES;NO
132;Staples;YES;YES;NO;YES;YES;NO
133;Danaher;YES;NO;YES;YES;YES;NO
134;Whirlpool;YES;NO;YES;NO;YES;NO
135;Aflac;YES;NO;YES;YES;YES;NO
137;Progressive;YES;NO;YES;YES;YES;NO
138;Abbott Laboratories;YES;NO;YES;YES;YES;NO
139;Dollar General;YES;NO;NO;YES;YES;NO
141;Eli Lilly;YES;NO;YES;YES;YES;NO
143;Penske Automotive Group;YES;YES;YES;YES;YES;YES
144;ManpowerGroup;YES;YES;YES;YES;YES;YES
145;Kohl’s;YES;YES;YES;YES;YES;YES
146;Starbucks;YES;NO;YES;YES;YES;NO
147;Paccar;YES;YES;YES;NO;YES;NO
148;Cummins;YES;YES;YES;YES;YES;YES
149;Altria Group;YES;YES;YES;NO;YES;NO
