range;Company;Site;Loading times;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total_images;total_words;unique_words;totallinks;external_links;internal_links;</title>;</html>;</body>;</div>;</span>;Correct_html;facebook;twitter;instagram;pinterest;youtube;loading.time
1;Walmart;www.walmart.com;0,758;51;0;122;142;0;143;19;6;0;483;2390;862;262;46;216;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;0,758
2;Exxon Mobil;www.exxonmobil.com;6,059;2;0;16;0;0;0;1;4;0;23;1056;277;806;23;783;YES;NO;YES;NO;YES;NO;NO;YES;NO;NO;YES;6,059
3;Apple;www.apple.com;0,119;2;0;0;0;0;0;1;0;0;3;484;267;281;5;276;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;YES;0,119
4;Berkshire Hathaway;www.berkshirehathaway.com;0;0;0;0;0;0;0;1;0;0;1;185;131;18;0;18;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0
5;McKesson;www.mckesson.com;0,645;7;0;6;0;0;0;0;0;0;13;740;338;142;5;137;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,645
6;UnitedHealth Group;www.unitedhealthgroup.com;0,728;0;0;0;0;0;0;0;1;0;1;958;416;137;13;124;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;0,728
7;CVS Health;www.cvshealth.com;0,207;16;0;1;0;0;1;1;1;0;20;896;368;153;27;126;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;YES;0,207
8;General Motors;www.gm.com;0,042;92;0;17;0;0;0;0;10;0;119;553;143;220;10;210;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,042
9;Ford Motor;www.ford.com;0,528;6;0;104;0;0;0;1;22;0;133;1460;642;192;10;182;YES;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;0,528
10;AT&T;www.att.com;0,365;29;1;16;0;0;0;1;29;0;76;1154;325;366;129;237;YES;YES;YES;NO;YES;NO;YES;YES;YES;YES;YES;0,365
11;General Electric;www.ge.com;0,07;1;0;6;0;0;0;0;0;0;7;567;227;129;0;129;YES;NO;YES;YES;YES;NO;YES;YES;YES;YES;YES;0,07
12;AmerisourceBergen;www.amerisourcebergen.com;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;0
13;Verizon;www.verizon.com;0,146;1;0;0;0;0;0;0;5;0;6;315;153;54;0;54;YES;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;0,146
14;Chevron;www.chevron.com;0,869;13;0;9;0;0;0;4;0;0;26;618;235;296;6;290;YES;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;0,869
