range;companyname;png;dib;jpg;jpeg;bmp;jpe;gif;tif;tiff;total;
1;Walmart;51;0;122;142;0;143;19;6;0;483;
2;Exxon Mobil;2;0;16;0;0;0;1;4;0;23;
3;Apple;2;0;0;0;0;0;1;0;0;3;
4;Berkshire Hathaway;0;0;0;0;0;0;1;0;0;1;
5;McKesson;7;0;6;0;0;0;0;0;0;13;
6;UnitedHealth Group;0;0;0;0;0;0;0;1;0;1;
7;CVS Health;16;0;1;0;0;1;1;1;0;20;
8;General Motors;92;0;17;0;0;0;0;10;0;119;
9;Ford Motor;6;0;104;0;0;0;1;22;0;133;
10;AT&T;29;1;16;0;0;0;1;29;0;76;
11;General Electric;1;0;6;0;0;0;0;0;0;7;
12;AmerisourceBergen;0;0;0;0;0;0;0;0;0;0;
13;Verizon;1;0;0;0;0;0;0;5;0;6;
14;Chevron;13;0;9;0;0;0;4;0;0;26;
15;Costco;48;0;26;0;0;0;4;37;0;115;
17;Kroger;31;0;9;0;0;0;1;3;0;44;
18;Amazon.com;45;12;16;0;0;0;9;30;0;112;
19;Walgreens Boots Alliance;0;0;7;0;0;0;0;2;0;9;
20;HP;0;0;14;0;0;0;0;9;0;23;
21;Cardinal Health;17;0;6;0;0;0;1;4;0;28;
22;Express Scripts Holding;0;0;0;0;0;0;0;0;0;0;
23;J.P. Morgan Chase;31;0;24;0;0;0;1;5;0;61;
24;Boeing;0;0;115;0;0;0;0;0;0;115;
25;Microsoft;1;0;15;0;0;0;0;0;0;16;
26;Bank of America Corp.;2;0;5;0;0;0;32;2;0;41;
27;Wells Fargo;16;0;11;0;0;0;7;1;0;35;
28;Home Depot;0;0;8;0;0;0;6;1;0;15;
29;Citigroup;0;0;0;0;0;0;0;0;0;0;
30;Phillips 66;25;0;12;0;0;0;4;0;0;41;
31;IBM;16;0;9;0;0;0;0;0;0;25;
32;Valero Energy;14;0;8;0;0;0;2;0;0;24;
33;Anthem;13;0;8;0;0;0;3;0;0;24;
34;Procter & Gamble;0;0;0;0;0;0;0;0;0;0;
35;State Farm Insurance Cos.;4;0;10;0;0;0;0;2;0;16;
36;Alphabet;14;0;0;0;23;0;0;0;0;37;
37;Comcast;10;0;3;0;0;0;0;0;0;13;
38;Target;12;0;0;0;0;0;6;1;0;19;
39;Johnson & Johnson;17;0;14;0;0;1;3;0;0;35;
40;MetLife;1;0;3;0;0;0;10;26;0;40;
41;Archer Daniels Midland;0;0;5;0;0;0;1;5;0;11;
42;Marathon Petroleum;10;0;3;0;0;0;8;1;0;22;
43;Freddie Mac;9;0;3;0;0;0;1;27;0;40;
44;PepsiCo;32;0;36;2;0;2;2;0;0;74;
45;United Technologies;18;0;109;5;0;5;1;1;0;139;
46;Aetna;30;0;12;0;0;0;3;10;0;55;
47;Lowe’s;3;0;0;0;0;0;1;0;0;4;
48;UPS;0;0;0;0;0;0;12;0;0;12;
49;AIG;3;0;31;0;0;0;0;6;0;40;
50;Prudential Financial;13;0;9;0;0;0;13;3;0;38;
51;Intel;1;0;0;0;0;0;0;0;0;1;
52;Humana;20;0;8;0;0;0;0;1;0;29;
53;Disney;174;0;0;1976;0;1976;305;12;0;4443;
54;Cisco Systems;0;0;20;1;0;1;1;7;0;30;
55;Pfizer;7;0;11;0;0;0;4;3;0;25;
56;Dow Chemical;2;0;0;0;0;0;0;6;0;8;
57;Sysco;3;0;3;0;0;0;0;1;0;7;
58;FedEx;1;0;0;0;0;0;3;9;0;13;
59;Caterpillar;0;0;0;0;0;0;1;22;0;23;
60;Lockheed Martin;12;0;13;0;0;0;1;3;0;29;
61;New York Life Insurance;4;0;11;0;0;0;3;10;0;28;
62;Coca-Cola;164;0;245;25;0;25;0;6;0;465;
63;HCA Holdings;3;0;18;0;0;0;0;31;0;52;
64;Ingram Micro;0;0;1;0;0;0;1;0;0;2;
65;Energy Transfer Equity;5;0;11;0;0;0;26;2;0;44;
66;Tyson Foods;3;0;1;0;0;0;0;0;0;4;
67;American Airlines Group;10;0;8;0;0;0;6;9;0;33;
68;Delta Air Lines;44;0;7;0;0;0;18;10;0;79;
69;Nationwide;1;0;35;0;0;0;15;6;0;57;
70;Johnson Controls;8;0;9;0;0;0;0;1;0;18;
71;Best Buy;0;0;0;0;0;0;1;0;0;1;
72;Merck;19;0;10;0;0;0;3;29;0;61;
73;Liberty Mutual Insurance Group;0;0;11;0;0;0;1;1;0;13;
74;Goldman Sachs Group;10;0;15;0;0;0;1;1;0;27;
75;Honeywell International;37;0;110;0;0;0;5;1;0;153;
76;Massachusetts Mutual Life Insurance;121;0;45;0;0;0;3;26;0;195;
77;Oracle;2;0;72;0;0;0;0;2;0;76;
78;Morgan Stanley;23;0;121;0;0;0;0;3;0;147;
79;Cigna;8;0;5;0;0;0;2;10;0;25;
80;United Continental Holdings;11;0;17;1;0;1;3;0;0;33;
81;Allstate;39;0;20;0;0;0;35;59;0;153;
82;TIAA;11;0;41;0;0;0;0;3;0;55;
83;INTL FCStone;2;0;7;0;0;0;0;6;0;15;
84;CHS;1;0;0;0;0;0;1;1;0;3;
85;American Express;1;0;1;0;0;0;26;2;0;30;
86;Gilead Sciences;10;0;3;0;0;0;0;4;0;17;
88;General Dynamics;24;0;70;0;0;1;1;1;0;97;
89;TJX;1;0;22;0;0;0;0;4;0;27;
90;ConocoPhillips;5;0;5;0;2;0;1;2;0;15;
91;Nike;70;0;0;0;0;0;0;0;0;70;
92;World Fuel Services;8;0;9;0;0;1;1;0;0;19;
93;3M;15;0;6;0;0;0;0;0;0;21;
94;Mondelez International;40;0;392;0;1;0;0;318;0;751;
95;Exelon;34;0;8;0;0;0;1;1;0;44;
96;Twenty-First Century Fox;23;0;9;0;0;1;1;0;0;34;
97;Deere;2;0;17;0;0;0;12;4;0;35;
99;Time Warner;59;0;17;0;0;1;1;0;0;78;
100;Northwestern Mutual;13;0;1;0;0;0;1;2;0;17;
101;DuPont;31;0;12;0;0;0;4;2;0;49;
102;Avnet;45;0;14;0;0;0;1;4;0;64;
103;Macy’s;0;0;8;0;0;0;0;0;0;8;
104;Enterprise Products Partners;15;0;5;0;0;0;2;21;0;43;
105;Travelers Cos.;6;0;9;0;0;0;0;1;0;16;
106;Philip Morris International;9;0;32;0;0;0;5;8;0;54;
107;Rite Aid;14;0;6;1;0;1;1;0;0;23;
108;Tech Data;15;0;9;0;0;0;0;1;0;25;
109;McDonald’s;35;0;12;0;0;0;0;16;0;63;
110;Qualcomm;12;0;2;0;0;0;0;0;0;14;
111;Sears Holdings;11;0;9;0;0;0;0;0;0;20;
112;Capital One Financial;18;0;5;1;0;1;2;2;0;29;
113;EMC;7;0;31;0;0;0;0;5;0;43;
114;USAA;1;0;0;0;0;0;0;0;0;1;
115;Duke Energy;1;0;3;0;0;0;5;8;0;17;
116;Time Warner Cable;5;1;0;0;0;0;0;0;0;6;
117;Halliburton;42;0;1;0;0;0;7;22;0;72;
118;Northrop Grumman;4;0;0;0;0;0;1;2;0;7;
119;Arrow Electronics;25;0;45;0;0;0;0;1;0;71;
120;Raytheon;6;0;21;0;0;0;3;2;0;32;
121;Plains GP Holdings;0;0;13;0;0;0;0;4;0;17;
122;US Foods Holding;0;0;0;0;0;0;0;0;0;0;
123;AbbVie;20;0;6;0;0;0;0;1;0;27;
124;Centene;9;0;5;0;0;0;0;0;0;14;
125;Community Health Systems;2;0;7;0;0;0;0;1;0;10;
126;Alcoa;2;0;34;0;0;0;81;4;0;121;
127;International Paper;23;0;10;0;0;0;0;4;0;37;
128;Emerson Electric;6;0;6;0;0;0;1;2;0;15;
129;Union Pacific;4;0;7;0;0;0;0;1;0;12;
130;Amgen;1;0;0;0;0;0;0;0;0;1;
131;U.S. Bancorp;12;0;12;0;0;0;4;18;0;46;
132;Staples;3;0;18;0;0;0;17;5;0;43;
133;Danaher;5;0;29;0;0;0;0;0;0;34;
134;Whirlpool;12;0;16;0;0;0;1;0;0;29;
135;Aflac;15;0;4;0;0;0;0;4;0;23;
137;Progressive;4;0;0;0;0;0;3;2;0;9;
138;Abbott Laboratories;16;0;129;0;0;0;2;21;0;168;
139;Dollar General;4;0;42;0;0;0;0;7;0;53;
141;Eli Lilly;9;1;19;0;0;0;4;0;0;33;
143;Penske Automotive Group;54;0;12;0;0;0;2;0;0;68;
144;ManpowerGroup;8;0;5;0;0;0;0;0;0;13;
145;Kohl’s;2;2;31;0;0;0;9;0;0;44;
146;Starbucks;12;0;16;1;0;1;26;2;0;58;
147;Paccar;14;0;13;0;0;0;1;0;0;28;
148;Cummins;4;0;0;0;0;1;1;0;0;6;
149;Altria Group;17;0;8;0;0;0;1;6;0;32;
150;Xerox;5;0;67;0;0;0;1;7;0;80;
151;Kimberly-Clark;7;0;16;0;0;0;3;4;0;30;
152;Hartford Financial Services Group;14;0;7;0;0;0;0;0;0;21;
153;Kraft Heinz;7;0;6;0;0;0;0;0;0;13;
154;Lear;16;0;6;0;0;0;0;1;0;23;
155;Fluor;18;0;74;0;0;0;9;3;0;104;
156;AECOM;55;0;72;0;0;0;0;0;0;127;
157;Facebook;19;0;0;0;0;0;17;0;0;36;
158;Jabil Circuit;3;0;6;0;0;0;0;3;0;12;
159;CenturyLink;41;0;0;0;0;0;2;40;0;83;
160;Supervalu;25;2;13;0;0;0;0;0;0;40;
161;General Mills;3;0;6;0;0;0;0;0;0;9;
163;NextEra Energy;0;0;3;0;0;0;4;3;0;10;
164;Thermo Fisher Scientific;29;0;28;0;0;0;1;38;0;96;
166;PG&E Corp.;0;0;0;0;0;0;0;0;0;0;
167;NGL Energy Partners;8;0;6;0;0;0;2;0;0;16;
168;Bristol-Myers Squibb;6;0;17;0;0;0;0;0;0;23;
169;Goodyear Tire & Rubber;1;0;0;0;0;0;0;0;0;1;
170;Nucor;0;0;1;0;0;0;0;2;0;3;
171;PNC Financial Services Group;3;0;11;0;0;0;11;5;0;30;
172;Health Net;3;0;9;0;0;0;7;0;0;19;
173;Micron Technology;41;0;13;1;0;1;1;1;0;58;
174;Colgate-Palmolive;12;0;11;0;0;0;0;1;0;24;
175;Freeport-McMoRan;1;0;10;0;0;0;25;0;0;36;
176;ConAgra Foods;50;0;46;0;0;0;0;2;0;98;
177;Gap;4;0;11;0;0;0;1;1;0;17;
178;Baker Hughes;7;0;17;0;0;0;0;5;1;30;
179;Bank of New York Mellon Corp.;23;0;11;0;0;0;0;0;0;34;
180;Dollar Tree;21;0;48;0;0;0;11;1;0;81;
181;Whole Foods Market;8;0;262;0;0;0;10;19;2;301;
182;PPG Industries;1;0;4;0;0;0;0;9;0;14;
183;Genuine Parts;11;0;9;0;0;0;1;0;0;21;
184;Icahn Enterprises;0;0;1;0;0;0;15;1;0;17;
185;Performance Food Group;6;0;19;0;0;0;0;0;0;25;
186;Omnicom Group;0;0;16;0;0;0;0;1;0;17;
187;DISH Network;44;0;0;0;0;0;2;24;0;70;
188;FirstEnergy;12;0;14;0;0;0;0;8;0;34;
189;Monsanto;67;0;15;0;0;0;2;0;0;84;
190;AES;3;0;20;1;0;1;3;2;0;30;
191;CarMax;10;0;6;0;0;0;0;2;0;18;
192;National Oilwell Varco;49;0;59;0;0;0;0;7;0;115;
193;NRG Energy;5;0;7;0;0;0;0;0;0;12;
194;Western Digital;5;0;12;0;0;0;0;0;0;17;
195;Marriott International;63;0;8;0;0;0;1;18;0;90;
196;Office Depot;14;0;9;0;0;0;11;6;0;40;
197;Nordstrom;26;0;3;42;0;42;106;18;0;237;
198;Kinder Morgan;7;0;1;0;0;0;10;0;0;18;
199;Aramark;6;0;0;3;0;3;4;0;0;16;
200;DaVita HealthCare Partners;21;0;17;0;0;0;0;2;0;40;
201;Molina Healthcare;7;0;10;0;0;0;1;2;0;20;
202;WellCare Health Plans;0;0;0;0;0;0;0;2;0;2;
203;CBS;25;0;25;0;0;0;0;0;0;50;
204;Visa;1;0;6;0;0;0;0;0;0;7;
205;Lincoln National;21;0;0;0;0;0;1;18;0;40;
206;Ecolab;29;0;105;0;0;0;1;1;0;136;
207;Kellogg;97;0;8;0;0;0;5;0;0;110;
208;C.H. Robinson Worldwide;10;0;20;0;0;0;11;2;0;43;
209;Textron;12;0;18;0;0;1;1;2;0;34;
210;Loews;6;0;7;0;0;0;0;0;0;13;
211;Illinois Tool Works;1;0;21;0;0;0;0;1;0;23;
212;Synnex;0;0;0;0;0;0;0;0;0;0;
