company;dimensions;occurencies;
Walmart;0x0;5;
Walmart;460x0;4;
Walmart;460x131700;2;
Walmart;460x1;2;
Walmart;13885x9953;1;
Walmart;12136x10655;1;
Walmart;135390x51230367;1;
Walmart;240x18021;1;
Walmart;9953x10998;1;
Walmart;18021x13885;1;
Walmart;21147x0;1;
Walmart;21300x0;1;
Walmart;240x53965539;1;
Walmart;0x21300;1;
Walmart;38762856x0;1;
Walmart;18647x0;1;
Walmart;13045x0;1;
Walmart;250x54693;1;
Walmart;0x18647;1;
Walmart;10998x21147;1;
Walmart;460x3;1;
Walmart;250x38762856;1;
Walmart;0x13045;1;
Walmart;300x0;1;
Walmart;8258x5611;1;
Walmart;460x42042;1;
Walmart;54693x47052;1;
Walmart;3733692x12136;1;
Walmart;3775402x0;1;
Walmart;0x135390;1;
Walmart;460x120297;1;
Walmart;10655x8258;1;
Walmart;460x63085;1;
Exxon Mobil;195x169;3;
Exxon Mobil;195x260;3;
Exxon Mobil;195x240;3;
Exxon Mobil;195x568;2;
Exxon Mobil;195x1024;1;
Exxon Mobil;195x1200;1;
Exxon Mobil;420x260;1;
Exxon Mobil;550x1024;1;
Exxon Mobil;550x1200;1;
McKesson;0x0;1;
UnitedHealth Group;44x556;3;
UnitedHealth Group;1x1;2;
CVS Health;800x1200;3;
CVS Health;0x0;2;
CVS Health;800x191;1;
General Electric;70x125;1;
General Electric;1x1;1;
Chevron;50x45;4;
Chevron;0x0;1;
Costco;400x310;4;
Costco;400x300;2;
Costco;400x600;1;
Costco;400x700;1;
Kroger;315x560;5;
Amazon.com;1x0;3;
Amazon.com;1x1;1;
Amazon.com;0x0;1;
Walgreens Boots Alliance;0x0;1;
HP;428x760;3;
HP;428x800;2;
HP;300x800;2;
HP;428x410;1;
Cardinal Health;29x29;1;
Microsoft;304x540;8;
Microsoft;720x1920;2;
Microsoft;1x1;1;
Bank of America Corp.;115x223;8;
Bank of America Corp.;160x233;4;
Bank of America Corp.;300x993;2;
Bank of America Corp.;41x192;1;
Bank of America Corp.;1x1;1;
Bank of America Corp.;0x0;1;
Bank of America Corp.;28x221;1;
Phillips 66;15x10;2;
IBM;70x70;7;
IBM;170x300;6;
Valero Energy;1x268;1;
Anthem;1x1;1;
Anthem;83x250;1;
Anthem;80x250;1;
Procter & Gamble;1x1;1;
Procter & Gamble;0x0;1;
State Farm Insurance Cos.;115x150;7;
State Farm Insurance Cos.;75x85;1;
State Farm Insurance Cos.;150x150;1;
State Farm Insurance Cos.;11x8;1;
Alphabet;23x27;1;
Comcast;0x0;1;
Target;24x24;1;
Johnson & Johnson;30x30;16;
Johnson & Johnson;300x600;3;
Johnson & Johnson;70x173;3;
Johnson & Johnson;140x250;1;
Johnson & Johnson;29x145;1;
MetLife;0x0;4;
MetLife;1x1;1;
Archer Daniels Midland;262x1;1;
Marathon Petroleum;280x226;1;
Marathon Petroleum;86x226;1;
Marathon Petroleum;1x156;1;
Marathon Petroleum;86x10;1;
Marathon Petroleum;27x168;1;
Marathon Petroleum;42x691;1;
Freddie Mac;1x1;2;
United Technologies;1x749;1;
Aetna;24x24;5;
Aetna;1x1;2;
UPS;1x10;3;
UPS;1x1;3;
UPS;8x10;1;
UPS;1x660;1;
UPS;19x1;1;
AIG;1x1;1;
AIG;450x800;1;
Prudential Financial;17x16;1;
