Range;Company;site;loading.time
1;Walmart;http://www.walmart.com;0,758
2;Exxon Mobil;http://www.exxonmobil.com;6,059
3;Apple;http://www.apple.com;0,119
4;Berkshire Hathaway;http://www.berkshirehathaway.com;0
5;McKesson;http://www.mckesson.com;0,645
6;UnitedHealth Group;http://www.unitedhealthgroup.com;0,728
7;CVS Health;http://www.cvshealth.com;0,207
8;General Motors;http://www.gm.com;0,042
9;Ford Motor;http://www.ford.com;0,528
10;AT&T;http://www.att.com;0,365
11;General Electric;http://www.ge.com;0,07
12;AmerisourceBergen;http://www.amerisourcebergen.com;0
13;Verizon;http://www.verizon.com;0,146
14;Chevron;http://www.chevron.com;0,869
15;Costco;http://www.costco.com;2,145
17;Kroger;http://www.thekrogerco.com;0,329
18;Amazon.com;http://www.amazon.com;0
19;Walgreens Boots Alliance;http://www.walgreensbootsalliance.com;0,56
20;HP;http://www.hp.com;0,212
21;Cardinal Health;http://www.cardinal.com;0,134
22;Express Scripts Holding;http://www.express-scripts.com;0,309
23;J.P. Morgan Chase;http://www.jpmorganchase.com;0,295
24;Boeing;http://www.boeing.com;0,549
25;Microsoft;http://www.microsoft.com;0,145
26;Bank of America Corp.;http://www.bankofamerica.com;0,609
27;Wells Fargo;http://www.wellsfargo.com;0,613
28;Home Depot;http://www.homedepot.com;0,085
29;Citigroup;http://www.citigroup.com;0,001
30;Phillips 66;http://www.phillips66.com;1,77
31;IBM;http://www.ibm.com;0,014
32;Valero Energy;http://www.valero.com;0,426
33;Anthem;http://www.antheminc.com;1,183
34;Procter & Gamble;http://www.pg.com;0,314
35;State Farm Insurance Cos.;http://www.statefarm.com;0,394
36;Alphabet;http://www.google.com;0,21
37;Comcast;http://www.comcastcorporation.com;0,036
38;Target;http://www.target.com;0,379
39;Johnson & Johnson;http://www.jnj.com;0,044
40;MetLife;http://www.metlife.com;0,046
41;Archer Daniels Midland;http://www.adm.com;0,104
42;Marathon Petroleum;http://www.marathonpetroleum.com;0,324
43;Freddie Mac;http://www.freddiemac.com;0,166
44;PepsiCo;http://www.pepsico.com;0,155
45;United Technologies;http://www.utc.com;0,856
46;Aetna;http://www.aetna.com;1,329
47;Lowe’s;http://www.lowes.com;0,722
48;UPS;http://www.ups.com;0,04
49;AIG;http://www.aig.com;0,473
50;Prudential Financial;http://www.prudential.com;10,229
51;Intel;http://www.intel.com;0,123
52;Humana;http://www.humana.com;0,616
53;Disney;http://www.disney.com;5,678
54;Cisco Systems;http://www.cisco.com;0,379
55;Pfizer;http://www.pfizer.com;0,483
56;Dow Chemical;http://www.dow.com;1,097
57;Sysco;http://www.sysco.com;4,897
58;FedEx;http://www.fedex.com;1,366
59;Caterpillar;http://www.caterpillar.com;3,072
60;Lockheed Martin;http://www.lockheedmartin.com;2,371
61;New York Life Insurance;http://www.newyorklife.com;7,817
62;Coca-Cola;http://www.coca-colacompany.com;2,527
63;HCA Holdings;http://www.hcahealthcare.com;6,189
64;Ingram Micro;http://www.ingrammicro.com;2,824
65;Energy Transfer Equity;http://www.energytransfer.com;1,343
66;Tyson Foods;http://www.tysonfoods.com;3,012
67;American Airlines Group;http://www.aa.com;0,128
68;Delta Air Lines;http://www.delta.com;1,091
69;Nationwide;http://www.nationwide.com;1,204
70;Johnson Controls;http://www.johnsoncontrols.com;0,516
71;Best Buy;http://www.bestbuy.com;0,005
72;Merck;http://www.merck.com;1,693
73;Liberty Mutual Insurance Group;http://www.libertymutual.com;1,253
74;Goldman Sachs Group;http://www.gs.com;0,359
75;Honeywell International;http://www.honeywell.com;2,729
76;Massachusetts Mutual Life Insurance;http://www.massmutual.com;1,068
77;Oracle;http://www.oracle.com;0,516
78;Morgan Stanley;http://www.morganstanley.com;0,338
79;Cigna;http://www.cigna.com;1,8
80;United Continental Holdings;http://www.unitedcontinentalholdings.com;2,321
81;Allstate;http://www.allstate.com;1,909
82;TIAA;http://www.tiaa.org;1,074
83;INTL FCStone;http://www.intlfcstone.com;2,552
84;CHS;http://www.chsinc.com;2,883
85;American Express;http://www.americanexpress.com;1,194
86;Gilead Sciences;http://www.gilead.com;1,753
88;General Dynamics;http://www.generaldynamics.com;1,639
89;TJX;http://www.tjx.com;2,794
90;ConocoPhillips;http://www.conocophillips.com;1,213
91;Nike;http://www.nike.com;2,199
92;World Fuel Services;http://www.wfscorp.com;2,223
93;3M;http://www.3m.com;1,335
94;Mondelez International;http://www.mondelezinternational.com;13,856
95;Exelon;http://www.exeloncorp.com;4,059
96;Twenty-First Century Fox;http://www.21cf.com;0,891
97;Deere;http://www.johndeere.com;1,443
99;Time Warner;http://www.timewarner.com;1,549
100;Northwestern Mutual;http://www.northwesternmutual.com;1,781
101;DuPont;http://www.dupont.com;2,182
102;Avnet;http://www.avnet.com;3,964
103;Macy’s;http://www.macysinc.com;1,298
104;Enterprise Products Partners;http://www.enterpriseproducts.com;4,038
105;Travelers Cos.;http://www.travelers.com;0,273
106;Philip Morris International;http://www.pmi.com;0,576
