range;company;facebook;twitter;instagram;pinterest;youtube
1;Walmart;YES;YES;YES;YES;YES;
2;Exxon Mobil;NO;YES;NO;NO;YES;
3;Apple;NO;NO;NO;NO;YES;
4;Berkshire Hathaway;NO;NO;NO;NO;NO;
5;McKesson;YES;YES;NO;NO;YES;
6;UnitedHealth Group;YES;YES;NO;NO;NO;
7;CVS Health;YES;YES;NO;NO;YES;
8;General Motors;YES;YES;NO;NO;YES;
9;Ford Motor;YES;NO;NO;NO;NO;
10;AT&T;YES;YES;YES;YES;YES;
11;General Electric;YES;YES;YES;YES;YES;
12;AmerisourceBergen;NO;NO;NO;NO;NO;
13;Verizon;NO;NO;NO;NO;NO;
14;Chevron;YES;YES;NO;NO;YES;
15;Costco;YES;NO;NO;YES;NO;
17;Kroger;YES;YES;NO;YES;YES;
18;Amazon.com;NO;YES;NO;NO;NO;
19;Walgreens Boots Alliance;NO;YES;NO;NO;NO;
20;HP;NO;NO;NO;NO;YES;
21;Cardinal Health;YES;YES;NO;NO;YES;
22;Express Scripts Holding;NO;NO;NO;NO;NO;
23;J.P. Morgan Chase;YES;YES;NO;NO;YES;
24;Boeing;YES;YES;NO;NO;YES;
25;Microsoft;YES;YES;NO;NO;NO;
26;Bank of America Corp.;NO;NO;NO;NO;NO;
27;Wells Fargo;YES;YES;YES;YES;YES;
28;Home Depot;YES;YES;NO;YES;YES;
29;Citigroup;NO;NO;NO;NO;NO;
30;Phillips 66;YES;YES;YES;NO;YES;
31;IBM;YES;YES;NO;NO;YES;
32;Valero Energy;NO;NO;NO;NO;NO;
33;Anthem;NO;YES;NO;NO;YES;
34;Procter & Gamble;NO;NO;NO;NO;NO;
35;State Farm Insurance Cos.;YES;YES;NO;NO;YES;
36;Alphabet;NO;NO;NO;NO;YES;
37;Comcast;YES;YES;NO;NO;YES;
38;Target;NO;NO;NO;NO;NO;
39;Johnson & Johnson;YES;YES;NO;NO;YES;
40;MetLife;NO;NO;NO;NO;NO;
41;Archer Daniels Midland;NO;NO;NO;NO;NO;
42;Marathon Petroleum;YES;YES;YES;NO;YES;
43;Freddie Mac;YES;YES;NO;NO;YES;
44;PepsiCo;YES;YES;YES;YES;YES;
45;United Technologies;YES;YES;YES;NO;YES;
46;Aetna;YES;YES;NO;NO;YES;
47;Lowe’s;YES;YES;YES;YES;YES;
48;UPS;NO;NO;NO;NO;NO;
49;AIG;YES;YES;NO;NO;YES;
50;Prudential Financial;NO;NO;NO;NO;NO;
51;Intel;NO;NO;NO;NO;NO;
52;Humana;YES;YES;YES;YES;YES;
53;Disney;YES;YES;YES;YES;YES;
54;Cisco Systems;YES;YES;NO;NO;NO;
55;Pfizer;YES;YES;NO;NO;YES;
56;Dow Chemical;YES;YES;NO;NO;YES;
57;Sysco;YES;YES;NO;NO;NO;
58;FedEx;NO;NO;NO;NO;NO;
59;Caterpillar;NO;NO;NO;NO;NO;
60;Lockheed Martin;YES;YES;YES;NO;YES;
61;New York Life Insurance;YES;YES;NO;NO;YES;
62;Coca-Cola;YES;YES;YES;NO;YES;
63;HCA Holdings;YES;YES;NO;NO;YES;
64;Ingram Micro;NO;YES;NO;NO;NO;
65;Energy Transfer Equity;NO;NO;NO;NO;NO;
66;Tyson Foods;YES;YES;YES;YES;YES;
67;American Airlines Group;YES;YES;NO;NO;YES;
68;Delta Air Lines;YES;YES;NO;NO;NO;
69;Nationwide;YES;YES;NO;NO;YES;
70;Johnson Controls;YES;YES;NO;NO;YES;
71;Best Buy;NO;NO;NO;NO;NO;
72;Merck;YES;YES;YES;NO;NO;
73;Liberty Mutual Insurance Group;YES;YES;NO;NO;YES;
74;Goldman Sachs Group;NO;YES;NO;NO;YES;
75;Honeywell International;YES;YES;NO;NO;YES;
76;Massachusetts Mutual Life Insurance;YES;YES;NO;YES;YES;
77;Oracle;YES;YES;NO;NO;YES;
78;Morgan Stanley;YES;YES;YES;NO;YES;
79;Cigna;YES;YES;YES;YES;YES;
80;United Continental Holdings;YES;YES;YES;NO;YES;
81;Allstate;YES;YES;YES;YES;YES;
82;TIAA;YES;YES;NO;NO;YES;
83;INTL FCStone;NO;YES;NO;NO;YES;
84;CHS;NO;YES;NO;NO;YES;
85;American Express;YES;YES;NO;NO;YES;
86;Gilead Sciences;NO;NO;NO;NO;NO;
88;General Dynamics;YES;NO;NO;NO;NO;
89;TJX;YES;YES;YES;NO;NO;
90;ConocoPhillips;YES;YES;NO;NO;YES;
91;Nike;NO;NO;NO;NO;NO;
92;World Fuel Services;NO;NO;NO;NO;NO;
93;3M;YES;YES;YES;NO;YES;
94;Mondelez International;YES;YES;YES;NO;YES;
95;Exelon;YES;YES;NO;NO;NO;
96;Twenty-First Century Fox;YES;YES;NO;NO;YES;
97;Deere;YES;YES;YES;NO;YES;
99;Time Warner;YES;YES;YES;NO;YES;
100;Northwestern Mutual;YES;YES;YES;YES;YES;
101;DuPont;YES;YES;NO;NO;YES;
102;Avnet;YES;YES;NO;NO;YES;
103;Macy’s;NO;NO;NO;NO;NO;
104;Enterprise Products Partners;YES;YES;NO;NO;NO;
105;Travelers Cos.;YES;YES;NO;NO;YES;
106;Philip Morris International;YES;YES;NO;NO;YES;
107;Rite Aid;YES;YES;NO;NO;YES;
108;Tech Data;NO;NO;NO;NO;YES;
109;McDonald’s;YES;YES;NO;YES;YES;
110;Qualcomm;YES;NO;NO;NO;NO;
111;Sears Holdings;YES;YES;NO;NO;YES;
112;Capital One Financial;YES;YES;YES;NO;YES;
113;EMC;YES;NO;NO;NO;NO;
114;USAA;NO;NO;NO;NO;NO;
115;Duke Energy;NO;NO;NO;NO;NO;
116;Time Warner Cable;YES;YES;YES;NO;YES;
117;Halliburton;YES;YES;NO;NO;YES;
118;Northrop Grumman;YES;YES;NO;NO;YES;
119;Arrow Electronics;YES;YES;NO;YES;YES;
120;Raytheon;YES;YES;YES;NO;YES;
121;Plains GP Holdings;NO;NO;NO;NO;NO;
122;US Foods Holding;NO;NO;NO;NO;NO;
123;AbbVie;YES;YES;NO;NO;YES;
124;Centene;YES;YES;NO;NO;YES;
125;Community Health Systems;NO;NO;NO;NO;YES;
126;Alcoa;YES;YES;NO;NO;YES;
127;International Paper;YES;YES;NO;NO;YES;
128;Emerson Electric;YES;YES;NO;NO;YES;
129;Union Pacific;YES;YES;YES;NO;YES;
130;Amgen;NO;YES;NO;NO;YES;
131;U.S. Bancorp;NO;YES;NO;NO;NO;
132;Staples;YES;YES;NO;NO;YES;
133;Danaher;NO;NO;NO;NO;NO;
134;Whirlpool;NO;YES;NO;NO;YES;
135;Aflac;YES;YES;YES;NO;YES;
137;Progressive;YES;YES;NO;NO;YES;
138;Abbott Laboratories;YES;YES;YES;NO;YES;
139;Dollar General;YES;YES;NO;YES;YES;
141;Eli Lilly;NO;NO;NO;NO;YES;
