range;company;unique_words;
1;Walmart;862;
2;Exxon Mobil;277;
3;Apple;267;
4;Berkshire Hathaway;131;
5;McKesson;338;
6;UnitedHealth Group;416;
7;CVS Health;368;
8;General Motors;143;
9;Ford Motor;642;
10;AT&T;325;
11;General Electric;227;
12;AmerisourceBergen;5;
13;Verizon;153;
14;Chevron;235;
15;Costco;837;
16;Fannie Mae;837;
17;Kroger;374;
18;Amazon.com;767;
19;Walgreens Boots Alliance;180;
20;HP;174;
21;Cardinal Health;391;
22;Express Scripts Holding;183;
23;J.P. Morgan Chase;451;
24;Boeing;267;
25;Microsoft;201;
26;Bank of America Corp.;479;
27;Wells Fargo;615;
28;Home Depot;242;
29;Citigroup;71;
30;Phillips 66;349;
31;IBM;284;
32;Valero Energy;384;
33;Anthem;253;
34;Procter & Gamble;60;
35;State Farm Insurance Cos.;422;
36;Alphabet;138;
37;Comcast;392;
38;Target;363;
39;Johnson & Johnson;350;
40;MetLife;205;
41;Archer Daniels Midland;357;
42;Marathon Petroleum;178;
43;Freddie Mac;292;
44;PepsiCo;306;
45;United Technologies;361;
46;Aetna;253;
47;Lowe’s;406;
48;UPS;308;
49;AIG;344;
50;Prudential Financial;394;
51;Intel;239;
52;Humana;396;
53;Disney;228;
54;Cisco Systems;365;
55;Pfizer;657;
56;Dow Chemical;323;
57;Sysco;241;
58;FedEx;114;
59;Caterpillar;240;
60;Lockheed Martin;341;
61;New York Life Insurance;445;
62;Coca-Cola;528;
63;HCA Holdings;445;
64;Ingram Micro;107;
65;Energy Transfer Equity;219;
66;Tyson Foods;349;
67;American Airlines Group;390;
68;Delta Air Lines;585;
69;Nationwide;396;
70;Johnson Controls;526;
71;Best Buy;88;
72;Merck;368;
73;Liberty Mutual Insurance Group;267;
74;Goldman Sachs Group;247;
75;Honeywell International;340;
76;Massachusetts Mutual Life Insurance;381;
77;Oracle;444;
78;Morgan Stanley;325;
79;Cigna;395;
80;United Continental Holdings;238;
81;Allstate;354;
82;TIAA;393;
83;INTL FCStone;344;
84;CHS;690;
85;American Express;340;
86;Gilead Sciences;334;
87;Publix Super Markets;334;
88;General Dynamics;303;
89;TJX;206;
90;ConocoPhillips;656;
91;Nike;193;
92;World Fuel Services;315;
93;3M;254;
94;Mondelez International;670;
95;Exelon;327;
96;Twenty-First Century Fox;192;
97;Deere;267;
98;Tesoro;267;
99;Time Warner;252;
100;Northwestern Mutual;446;
101;DuPont;482;
102;Avnet;459;
103;Macy’s;210;
104;Enterprise Products Partners;632;
105;Travelers Cos.;342;
106;Philip Morris International;380;
107;Rite Aid;291;
108;Tech Data;315;
109;McDonald’s;257;
110;Qualcomm;222;
111;Sears Holdings;231;
112;Capital One Financial;319;
113;EMC;382;
114;USAA;119;
115;Duke Energy;228;
116;Time Warner Cable;258;
117;Halliburton;367;
118;Northrop Grumman;230;
119;Arrow Electronics;369;
120;Raytheon;284;
121;Plains GP Holdings;216;
122;US Foods Holding;24;
123;AbbVie;401;
124;Centene;248;
125;Community Health Systems;180;
126;Alcoa;281;
127;International Paper;479;
128;Emerson Electric;367;
129;Union Pacific;260;
130;Amgen;388;
131;U.S. Bancorp;297;
132;Staples;317;
133;Danaher;225;
134;Whirlpool;394;
135;Aflac;196;
136;AutoNation;196;
137;Progressive;354;
138;Abbott Laboratories;612;
139;Dollar General;339;
140;Tenet Healthcare;339;
141;Eli Lilly;343;
142;Southwest Airlines;343;
143;Penske Automotive Group;275;
144;ManpowerGroup;365;
145;Kohl’s;322;
146;Starbucks;561;
147;Paccar;171;
148;Cummins;470;
149;Altria Group;501;
150;Xerox;433;
151;Kimberly-Clark;233;
152;Hartford Financial Services Group;230;
153;Kraft Heinz;190;
154;Lear;275;
155;Fluor;266;
156;AECOM;368;
157;Facebook;367;
158;Jabil Circuit;339;
159;CenturyLink;474;
160;Supervalu;181;
161;General Mills;299;
162;Southern;299;
163;NextEra Energy;148;
164;Thermo Fisher Scientific;406;
165;American Electric Power;406;
166;PG&E Corp.;13;
167;NGL Energy Partners;234;
168;Bristol-Myers Squibb;371;
169;Goodyear Tire & Rubber;124;
170;Nucor;382;
171;PNC Financial Services Group;531;
172;Health Net;355;
173;Micron Technology;408;
174;Colgate-Palmolive;208;
175;Freeport-McMoRan;225;
176;ConAgra Foods;232;
177;Gap;275;
178;Baker Hughes;631;
179;Bank of New York Mellon Corp.;328;
180;Dollar Tree;521;
181;Whole Foods Market;1529;
182;PPG Industries;423;
183;Genuine Parts;80;
184;Icahn Enterprises;127;
185;Performance Food Group;402;
186;Omnicom Group;206;
187;DISH Network;434;
188;FirstEnergy;267;
189;Monsanto;429;
190;AES;324;
191;CarMax;404;
192;National Oilwell Varco;207;
193;NRG Energy;294;
194;Western Digital;229;
195;Marriott International;554;
196;Office Depot;482;
197;Nordstrom;217;
198;Kinder Morgan;266;
199;Aramark;277;
200;DaVita HealthCare Partners;468;
201;Molina Healthcare;481;
202;WellCare Health Plans;243;
203;CBS;230;
204;Visa;199;
205;Lincoln National;260;
206;Ecolab;711;
207;Kellogg;303;
208;C.H. Robinson Worldwide;298;
209;Textron;371;
210;Loews;279;
211;Illinois Tool Works;246;
212;Synnex;13;
213;Viacom;340;
214;HollyFrontier;241;
215;Land O’Lakes;249;
216;Devon Energy;319;
217;PBF Energy;319;
218;Yum Brands;267;
219;Texas Instruments;130;
220;CDW;746;
221;Waste Management;332;
222;Marsh & McLennan;573;
223;Chesapeake Energy;455;
224;Parker-Hannifin;189;
225;Occidental Petroleum;266;
226;Guardian Life Ins. Co. of America;26;
227;Farmers Insurance Exchange;354;
228;J.C. Penney;349;
229;Consolidated Edison;84;
230;Cognizant Technology Solutions;340;
231;VF;298;
232;Ameriprise Financial;212;
233;Computer Sciences;755;
234;L Brands;209;
235;Jacobs Engineering Group;276;
236;Principal Financial;527;
237;Ross Stores;207;
238;Bed Bath & Beyond;570;
239;CSX;423;
240;Toys “R” Us;117;
241;Las Vegas Sands;144;
242;Leucadia National;167;
243;Dominion Resources;167;
244;United States Steel;326;
245;L-3 Communications;358;
246;Edison International;523;
247;Entergy;287;
248;ADP;543;
249;First Data;159;
250;BlackRock;193;
251;WestRock;292;
252;Voya Financial;212;
253;Sherwin-Williams;322;
254;Hilton Worldwide Holdings;204;
255;R.R. Donnelley & Sons;449;
