;Readability;Readability_index;company;url
1;Very Confusing;0;Walmart;www.walmart.com
2;Difficult;1;Exxon Mobil;www.exxonmobil.com
3;Very Confusing;0;Apple;www.apple.com
4;Very Confusing;0;Berkshire Hathaway;www.berkshirehathaway.com
5;Very Confusing;0;McKesson;www.mckesson.com
6;Very Confusing;0;UnitedHealth Group;www.unitedhealthgroup.com
7;Very Confusing;0;CVS Health;www.cvshealth.com
8;Very Confusing;0;General Motors;www.gm.com
9;Very Confusing;0;Ford Motor;www.ford.com
10;Very Confusing;0;"AT&amp;T";www.att.com
11;Very Confusing;0;General Electric;www.ge.com
12;Very Confusing;0;AmerisourceBergen;www.amerisourcebergen.com
13;Very Confusing;0;Verizon;www.verizon.com
14;Very Confusing;0;Chevron;www.chevron.com
15;Very Confusing;0;Costco;www.costco.com
17;Very Confusing;0;Kroger;www.thekrogerco.com
18;Very Confusing;0;Amazon.com;www.amazon.com
19;Very Confusing;0;Walgreens Boots Alliance;www.walgreensbootsalliance.com
20;Very Confusing;0;HP;www.hp.com
21;Very Confusing;0;Cardinal Health;www.cardinal.com
22;Very Confusing;0;Express Scripts Holding;www.express-scripts.com
23;Very Confusing;0;J.P. Morgan Chase;www.jpmorganchase.com
24;Difficult;1;Boeing;www.boeing.com
25;Very Confusing;0;Microsoft;www.microsoft.com
