;Assets $;Market value $;Revenues $;Revenues %;Total Stockholder Equity $;company;The_page_opened;non-document-error;number_of_errors;number_of_warning;url_y_x;external;internal;total links;url;facebook;instagram;linkedin;pinterest;twitter;youtube;Readability;Readability_index;total_words;unique_words;url_y_x;29x29;1x1;115x223;160x233;41x192;28x221;300x993;15x12;170x300;70x70;83x250;115x150;11x8;150x150;75x85;x;23x27;86x226;280x691;42x168;1x700;27x156;24x24;1x10;10x1;8x10;1x660;19x1;17x16;.bmp;.dib;.gif;.jpe;.jpeg;.jpg;.png;.tif;.tiff;total images;loading time
0;30,142;26,989;102,531;12.6;6,256;Cardinal Health;True;1;0;0;www.cardinal.com;5;247;252;www.cardinal.com;yes;no;yes;no;yes;yes;Very Confusing;0;700;269;www.cardinal.com;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;0;0;7;18;2;0;28;1.944
1;53,243;43,467;101,752;0.9;17,373;Express Scripts Holding;True;0;10;1;www.express-scripts.com;14;44;58;www.express-scripts.com;no;no;no;no;no;no;Very Confusing;0;331;151;www.express-scripts.com;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;0;0;0;0;0;0;0;0;9.31
2;2,351,698;217,353;101,006;-1.1;247,573;J.P. Morgan Chase;True;0;2;0;www.jpmorganchase.com;39;243;282;www.jpmorganchase.com;yes;no;yes;no;yes;yes;Very Confusing;0;879;298;www.jpmorganchase.com;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;0;0;30;30;2;0;63;0.078
3;94,408;82,645;96,114;5.9;6,335;Boeing;True;1;0;0;www.boeing.com;6;162;168;www.boeing.com;yes;no;yes;no;yes;yes;Difficult;1;542;160;www.boeing.com;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;0;0;0;111;0;0;0;111;0.0
4;176,223;436,831;93,580;7.8;80,083;Microsoft;True;0;410;88;www.microsoft.com;55;63;118;www.microsoft.com;no;no;no;no;no;no;Very Confusing;0;396;133;www.microsoft.com;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;0;0;0;0;1;0;0;1;0.157
5;2,144,316;139,603;93,056;-2.2;256,205;Bank of America Corp.;True;0;42;103;www.bankofamerica.com;37;89;126;www.bankofamerica.com;no;no;no;no;no;no;Very Confusing;0;924;348;www.bankofamerica.com;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;32;0;0;5;2;2;0;41;0.78
6;1,787,632;244,568;90,033;1.9;192,998;Wells Fargo;True;0;87;12;www.wellsfargo.com;26;189;215;www.wellsfargo.com;yes;yes;yes;yes;yes;yes;Very Confusing;0;1025;430;www.wellsfargo.com;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;7;0;0;13;14;3;0;37;0.113
7;42,549;167,181;88,519;6.4;6,316;Home Depot;True;0;28;14;www.homedepot.com;16;134;150;www.homedepot.com;yes;no;no;yes;yes;yes;Very Confusing;0;649;191;www.homedepot.com;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;10;0;0;37;2;0;0;49;0.041
8;1,731,210;122,796;88,275;-2.6;221,857;Citigroup;True;0;2;0;www.citigroup.com;0;4;4;www.citigroup.com;no;no;no;no;no;no;Very Confusing;0;107;56;www.citigroup.com;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0.104
9;48,580;45,566;87,169;-41.7;23,100;Phillips 66;True;1;0;0;www.phillips66.com;1;80;81;www.phillips66.com;yes;yes;no;no;yes;yes;Very Confusing;0;490;189;www.phillips66.com;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;4;0;0;12;25;0;0;41;0.385
